Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
RAD52	-	MIM:600392|HGNC:HGNC:9824|Ensembl:ENSG00000002016	12	12p13.33	"RAD52 homolog, DNA repair protein"	protein-coding	RAD52	"RAD52 homolog, DNA repair protein"	DNA repair protein RAD52 homolog|recombination protein RAD52|rhabdomyosarcoma antigen MU-RMS-40.23	20210302
RAF1	CMD1NN|CRAF|NS5|Raf-1|c-Raf	MIM:164760|HGNC:HGNC:9829|Ensembl:ENSG00000132155	3	3p25.2	"Raf-1 proto-oncogene, serine/threonine kinase"	protein-coding	RAF1	"Raf-1 proto-oncogene, serine/threonine kinase"	"RAF proto-oncogene serine/threonine-protein kinase|C-Raf proto-oncogene, serine/threonine kinase|Oncogene RAF1|proto-oncogene c-RAF|raf proto-oncogene serine/threonine protein kinase|v-raf-1 murine leukemia viral oncogene homolog 1|v-raf-1 murine leukemia viral oncogene-like protein 1"	20210307
RAG1	RAG-1|RNF74	MIM:179615|HGNC:HGNC:9831|Ensembl:ENSG00000166349	11	11p12	recombination activating 1	protein-coding	RAG1	recombination activating 1	V(D)J recombination-activating protein 1|RING finger protein 74|recombination activating gene 1|recombination activating protein 1	20210302
RAG2	RAG-2	MIM:179616|HGNC:HGNC:9832|Ensembl:ENSG00000175097	11	11p12	recombination activating 2	protein-coding	RAG2	recombination activating 2	V(D)J recombination-activating protein 2|recombination activating gene 2	20210302
RALA	RAL	MIM:179550|HGNC:HGNC:9839|Ensembl:ENSG00000006451	7	7p14.1	RAS like proto-oncogene A	protein-coding	RALA	RAS like proto-oncogene A	ras-related protein Ral-A|RALA Ras like proto-oncogene A|RAS-like protein A|Ras family small GTP binding protein RALA|ras related GTP binding protein A|v-ral simian leukemia viral oncogene homolog A (ras related)	20210302
RALB	-	MIM:179551|HGNC:HGNC:9840|Ensembl:ENSG00000144118	2	2q14.2	RAS like proto-oncogene B	protein-coding	RALB	RAS like proto-oncogene B	ras-related protein Ral-B|RALB Ras like proto-oncogene B|RAS-like protein B|ras related GTP binding protein B|v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	20210302
RALGDS	RGDS|RGF|RalGEF	MIM:601619|HGNC:HGNC:9842|Ensembl:ENSG00000160271	9	9q34.13-q34.2	ral guanine nucleotide dissociation stimulator	protein-coding	RALGDS	ral guanine nucleotide dissociation stimulator	ral guanine nucleotide dissociation stimulator|ral guanine nucleotide exchange factor	20210302
RAN	ARA24|Gsp1|TC4	MIM:601179|HGNC:HGNC:9846|Ensembl:ENSG00000132341	12	12q24.33	"RAN, member RAS oncogene family"	protein-coding	RAN	"RAN, member RAS oncogene family"	GTP-binding nuclear protein Ran|GTPase Ran|RanGTPase|androgen receptor-associated protein 24|guanosine triphosphatase Ran|member RAS oncogene family|ras-like protein TC4|ras-related nuclear protein	20210307
RANBP1	HTF9A	MIM:601180|HGNC:HGNC:9847|Ensembl:ENSG00000099901	22	22q11.21	RAN binding protein 1	protein-coding	RANBP1	RAN binding protein 1	ran-specific GTPase-activating protein|HpaII tiny fragments locus 9A|testis secretory sperm-binding protein Li 221n	20210302
RANBP2	ADANE|ANE1|IIAE3|NUP358|TRP1|TRP2	MIM:601181|HGNC:HGNC:9848|Ensembl:ENSG00000153201	2	2q13	RAN binding protein 2	protein-coding	RANBP2	RAN binding protein 2	E3 SUMO-protein ligase RanBP2|358 kDa nucleoporin|E3 SUMO-protein transferase RanBP2|P270|acute necrotizing encephalopathy 1 (autosomal dominant)|nuclear pore complex protein Nup358|nucleoporin 358|nucleoporin Nup358|ran-binding protein 2|transformation-related protein 2	20210302
RANGAP1	Fug1|RANGAP|SD	MIM:602362|HGNC:HGNC:9854|Ensembl:ENSG00000100401	22	22q13.2	Ran GTPase activating protein 1	protein-coding	RANGAP1	Ran GTPase activating protein 1	ran GTPase-activating protein 1|segregation distorter homolog	20210302
RAP1A	C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21	MIM:179520|HGNC:HGNC:9855|Ensembl:ENSG00000116473	1	1p13.2	"RAP1A, member of RAS oncogene family"	protein-coding	RAP1A	"RAP1A, member of RAS oncogene family"	ras-related protein Rap-1A|GTP-binding protein smg p21A|Ras-related protein Krev-1	20210302
RAP1AP	KREV1P|SMGP21A	HGNC:HGNC:9856	14	14q24.3	"RAP1A, member of RAS oncogene family pseudogene"	pseudo	RAP1AP	"RAP1A, member of RAS oncogene family pseudogene"	-	20210302
RAP1B	K-REV|RAL1B	MIM:179530|HGNC:HGNC:9857|Ensembl:ENSG00000127314	12	12q15	"RAP1B, member of RAS oncogene family"	protein-coding	RAP1B	"RAP1B, member of RAS oncogene family"	ras-related protein Rap-1b|GTP-binding protein smg p21B|RAS-related protein RAP1B|Ras family small GTP binding protein RAP1B|small GTP binding protein	20210302
RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP	MIM:600278|HGNC:HGNC:9858|Ensembl:ENSG00000076864	1	1p36.12	RAP1 GTPase activating protein	protein-coding	RAP1GAP	RAP1 GTPase activating protein	rap1 GTPase-activating protein 1	20210302
RAP1GDS1	GDS1|SmgGDS	MIM:179502|HGNC:HGNC:9859|Ensembl:ENSG00000138698	4	4q23	Rap1 GTPase-GDP dissociation stimulator 1	protein-coding	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	"rap1 GTPase-GDP dissociation stimulator 1|RAP1, GTP-GDP dissociation stimulator 1|SMG GDS protein|SMG P21 stimulatory GDP/GTP exchange protein|exchange factor smgGDS"	20210307
RAP2A	K-REV|KREV|RAP2|RbBP-30	MIM:179540|HGNC:HGNC:9861|Ensembl:ENSG00000125249	13	13q32.1	"RAP2A, member of RAS oncogene family"	protein-coding	RAP2A	"RAP2A, member of RAS oncogene family"	"ras-related protein Rap-2a|RAP2, member of RAS oncogene family (K-rev)"	20210302
RAP2B	-	MIM:179541|HGNC:HGNC:9862|Ensembl:ENSG00000181467	3	3q25.2	"RAP2B, member of RAS oncogene family"	protein-coding	RAP2B	"RAP2B, member of RAS oncogene family"	ras-related protein Rap-2b|small GTP binding protein	20210302
RAPSN	CMS11|CMS4C|FADS|FADS2|RAPSYN|RNF205	MIM:601592|HGNC:HGNC:9863|Ensembl:ENSG00000165917	11	11p11.2	receptor associated protein of the synapse	protein-coding	RAPSN	receptor associated protein of the synapse	43 kDa receptor-associated protein of the synapse|43 kda postsynaptic protein|RING finger protein 205|acetylcholine receptor-associated 43 kda protein	20210302
RARA	NR1B1|RAR	MIM:180240|HGNC:HGNC:9864|Ensembl:ENSG00000131759	17	17q21.2	retinoic acid receptor alpha	protein-coding	RARA	retinoic acid receptor alpha	"retinoic acid receptor alpha|RAR-alpha|nuclear receptor subfamily 1 group B member 1|nucleophosmin-retinoic acid receptor alpha fusion protein NPM-RAR long form|retinoic acid nuclear receptor alpha variant 1|retinoic acid nuclear receptor alpha variant 2|retinoic acid receptor, alpha polypeptide"	20210307
RARB	HAP|MCOPS12|NR1B2|RARbeta1|RRB2	MIM:180220|HGNC:HGNC:9865|Ensembl:ENSG00000077092	3	3p24.2	retinoic acid receptor beta	protein-coding	RARB	retinoic acid receptor beta	"retinoic acid receptor beta|HBV-activated protein|RAR-beta|RAR-epsilon|hepatitis B virus activated protein|nuclear receptor subfamily 1 group B member 2|retinoic acid receptor, beta polypeptide"	20210302
RARG	NR1B3|RARC	MIM:180190|HGNC:HGNC:9866|Ensembl:ENSG00000172819	12	12q13.13	retinoic acid receptor gamma	protein-coding	RARG	retinoic acid receptor gamma	retinoic acid receptor gamma|RAR-gamma|nuclear receptor subfamily 1 group B member 3|retinoic acid nuclear receptor gamma variant 1|retinoic acid nuclear receptor gamma variant 2	20210302
RARS1	ArgRS|DALRD1|HLD9|RARS	MIM:107820|HGNC:HGNC:9870|Ensembl:ENSG00000113643	5	5q34	arginyl-tRNA synthetase 1	protein-coding	RARS1	arginyl-tRNA synthetase 1	"arginine--tRNA ligase, cytoplasmic|arginine tRNA ligase 1, cytoplasmic|arginyl-tRNA synthetase, cytoplasmic"	20210307
RARRES1	LXNL|PERG-1|TIG1	MIM:605090|HGNC:HGNC:9867|Ensembl:ENSG00000118849	3	3q25.32	retinoic acid receptor responder 1	protein-coding	RARRES1	retinoic acid receptor responder 1	retinoic acid receptor responder protein 1|RAR-responsive protein TIG1|latexin-like|phorbol ester-induced gene 1 protein|retinoic acid receptor responder (tazarotene induced) 1|tazarotene-induced gene 1 protein	20210302
RARRES2	HP10433|TIG2	MIM:601973|HGNC:HGNC:9868|Ensembl:ENSG00000106538	7	7q36.1	retinoic acid receptor responder 2	protein-coding	RARRES2	retinoic acid receptor responder 2	retinoic acid receptor responder protein 2|RAR-responsive protein TIG2|chemerin|retinoic acid receptor responder (tazarotene induced) 2|tazarotene-induced gene 2 protein	20210302
PLAAT4	HRASLS4|HRSL4|PLA1/2-3|PLAAT-4|RARRES3|RIG1|TIG3	MIM:605092|HGNC:HGNC:9869|Ensembl:ENSG00000133321	11	11q12.3	phospholipase A and acyltransferase 4	protein-coding	PLAAT4	phospholipase A and acyltransferase 4	phospholipase A and acyltransferase 4|HRAS-like suppressor 4|RAR-responsive protein TIG3|phospholipase A/acyltransferase-4|retinoic acid receptor responder (tazarotene induced) 3|retinoic acid receptor responder 3|retinoic acid receptor responder protein 3|retinoic acid-inducible gene 1|retinoid-inducible gene 1 protein|tazarotene-induced gene 3 protein	20210302
RASA1	CM-AVM|CMAVM|CMAVM1|GAP|PKWS|RASA|RASGAP|p120|p120GAP|p120RASGAP	MIM:139150|HGNC:HGNC:9871|Ensembl:ENSG00000145715	5	5q14.3	RAS p21 protein activator 1	protein-coding	RASA1	RAS p21 protein activator 1	ras GTPase-activating protein 1|RAS p21 protein activator (GTPase activating protein) 1|p120 RAS GTPase activating protein|triphosphatase-activating protein	20210302
RASA2	GAP1M	MIM:601589|HGNC:HGNC:9872|Ensembl:ENSG00000155903	3	3q23	RAS p21 protein activator 2	protein-coding	RASA2	RAS p21 protein activator 2	ras GTPase-activating protein 2|GTPase-activating protein 1m|GTPase-activating protein of RAS	20210302
RASGRF1	CDC25|CDC25L|GNRP|GRF1|GRF55|H-GRF55|PP13187|ras-GRF1	MIM:606600|HGNC:HGNC:9875|Ensembl:ENSG00000058335	15	15q25.1	Ras protein specific guanine nucleotide releasing factor 1	protein-coding	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	"ras-specific guanine nucleotide-releasing factor 1|Ras-specific guanine nucleotide-releasing factor, CDC25 homolog|Ras-specific nucleotide exchange factor CDC25|guanine nucleotide exchange factor|guanine nucleotide-releasing factor 1|guanine nucleotide-releasing factor, 55 kD|guanine nucleotide-releasing protein"	20210302
RASGRF2	GRF2|RAS-GRF2	MIM:606614|HGNC:HGNC:9876|Ensembl:ENSG00000113319	5	5q14.1	Ras protein specific guanine nucleotide releasing factor 2	protein-coding	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2	ras-specific guanine nucleotide-releasing factor 2|ras guanine nucleotide exchange factor 2	20210302
RB1	OSRC|PPP1R130|RB|p105-Rb|p110-RB1|pRb|pp110	MIM:614041|HGNC:HGNC:9884|Ensembl:ENSG00000139687	13	13q14.2	RB transcriptional corepressor 1	protein-coding	RB1	RB transcriptional corepressor 1	"retinoblastoma-associated protein|GOS563 exon 17 substitution mutation causes premature stop|exon 17 tumor GOS561 substitution mutation causes premature stop|prepro-retinoblastoma-associated protein|protein phosphatase 1, regulatory subunit 130|retinoblastoma 1|retinoblastoma suspectibility protein"	20210307
ARID4A	RBBP-1|RBBP1|RBP-1|RBP1	MIM:180201|HGNC:HGNC:9885|Ensembl:ENSG00000032219	14	14q23.1	AT-rich interaction domain 4A	protein-coding	ARID4A	AT-rich interaction domain 4A	AT-rich interactive domain-containing protein 4A|ARID domain-containing protein 4A|AT rich interactive domain 4A (RBP1-like)|retinoblastoma-binding protein 1	20210302
KDM5A	RBBP-2|RBBP2|RBP2	MIM:180202|HGNC:HGNC:9886|Ensembl:ENSG00000073614	12	12p13.33	lysine demethylase 5A	protein-coding	KDM5A	lysine demethylase 5A	"lysine-specific demethylase 5A|Jumonji, AT rich interactive domain 1A (RBP2-like)|[histone H3]-trimethyl-L-lysine(4) demethylase 5A|histone demethylase JARID1A|jumonji/ARID domain-containing protein 1A|lysine (K)-specific demethylase 5A|retinoblastoma binding protein 2"	20210302
RBBP4	NURF55|RBAP48|lin-53	MIM:602923|HGNC:HGNC:9887|Ensembl:ENSG00000162521	1	1p35.1	"RB binding protein 4, chromatin remodeling factor"	protein-coding	RBBP4	"RB binding protein 4, chromatin remodeling factor"	histone-binding protein RBBP4|CAF-1 subunit C|CAF-I 48 kDa subunit|CAF-I p48|MSI1 protein homolog|RBBP-4|chromatin assembly factor 1 subunit C|chromatin assembly factor I p48 subunit|chromatin assembly factor/CAF-1 p48 subunit|nucleosome-remodeling factor subunit RBAP48|retinoblastoma-binding protein 4|retinoblastoma-binding protein p48	20210307
RBBP5	RBQ3|SWD1	MIM:600697|HGNC:HGNC:9888|Ensembl:ENSG00000117222	1	1q32.1	"RB binding protein 5, histone lysine methyltransferase complex subunit"	protein-coding	RBBP5	"RB binding protein 5, histone lysine methyltransferase complex subunit"	"retinoblastoma-binding protein 5|RBBP-5|SWD1, Set1c WD40 repeat protein, homolog|retinoblastoma-binding protein RBQ-3"	20210307
RBBP6	MY038|P2P-R|PACT|RBQ-1|SNAMA	MIM:600938|HGNC:HGNC:9889|Ensembl:ENSG00000122257	16	16p12.1	"RB binding protein 6, ubiquitin ligase"	protein-coding	RBBP6	"RB binding protein 6, ubiquitin ligase"	E3 ubiquitin-protein ligase RBBP6|RB-binding Q-protein 1|RING-type E3 ubiquitin transferase RBBP6|p53-associated cellular protein of testis|proliferation potential-related protein|protein P2P-R|retinoblastoma binding protein 6|retinoblastoma-binding Q protein 1	20210302
RBBP7	RbAp46	MIM:300825|HGNC:HGNC:9890|Ensembl:ENSG00000102054	X	Xp22.2	"RB binding protein 7, chromatin remodeling factor"	protein-coding	RBBP7	"RB binding protein 7, chromatin remodeling factor"	histone-binding protein RBBP7|G1/S transition control protein-binding protein RbAp46|RBBP-7|histone acetyltransferase type B subunit 2|nucleosome-remodeling factor subunit RBAP46|retinoblastoma-binding protein 7|retinoblastoma-binding protein RbAp46|retinoblastoma-binding protein p46	20210307
RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	MIM:604124|HGNC:HGNC:9891|Ensembl:ENSG00000101773	18	18q11.2	"RB binding protein 8, endonuclease"	protein-coding	RBBP8	"RB binding protein 8, endonuclease"	DNA endonuclease RBBP8|CTBP-interacting protein|RBBP-8|retinoblastoma binding protein 8|sporulation in the absence of SPO11 protein 2 homolog	20210302
RBL1	CP107|PRB1|p107	MIM:116957|HGNC:HGNC:9893|Ensembl:ENSG00000080839	20	20q11.23	RB transcriptional corepressor like 1	protein-coding	RBL1	RB transcriptional corepressor like 1	retinoblastoma-like protein 1|107 kDa retinoblastoma-associated protein|retinoblastoma-like 1	20210302
RBL2	P130|Rb2	MIM:180203|HGNC:HGNC:9894|Ensembl:ENSG00000103479	16	16q12.2	RB transcriptional corepressor like 2	protein-coding	RBL2	RB transcriptional corepressor like 2	retinoblastoma-like protein 2|130 kDa retinoblastoma-associated protein|PRB2|RBR-2|retinoblastoma-like 2|retinoblastoma-related protein 2	20210302
RBM3	IS1-RNPL|RNPL	MIM:300027|HGNC:HGNC:9900|Ensembl:ENSG00000102317	X	Xp11.23	RNA binding motif protein 3	protein-coding	RBM3	RNA binding motif protein 3	"RNA-binding protein 3|RNA binding motif (RNP1, RRM) protein 3"	20210302
RBM4	LARK|RBM4A|ZCCHC21|ZCRB3A	MIM:602571|HGNC:HGNC:9901|Ensembl:ENSG00000173933	11	11q13.2	RNA binding motif protein 4	protein-coding	RBM4	RNA binding motif protein 4	RNA-binding protein 4|RNA-binding motif protein 4a|lark homolog|transcriptional coactivator CoAZ|zinc finger CCHC-type and RNA binding motif 3A	20210302
RBMS1	C2orf12|HCC-4|MSSP|MSSP-1|MSSP-2|MSSP-3|SCR2|YC1	MIM:602310|HGNC:HGNC:9907|Ensembl:ENSG00000153250	2	2q24.2	RNA binding motif single stranded interacting protein 1	protein-coding	RBMS1	RNA binding motif single stranded interacting protein 1	"RNA-binding motif, single-stranded-interacting protein 1|c-myc gene single strand binding protein 2|cervical cancer oncogene 4|single-stranded DNA-binding protein MSSP-1|suppressor of CDC2 with RNA-binding motif 2|suppressor of cdc 2 (cdc13) with RNA binding motif 2"	20210302
RBMS1P1	MSSP1|RBMS1P	HGNC:HGNC:9908	12	12q14.3	RNA binding motif single stranded interacting protein 1 pseudogene 1	pseudo	RBMS1P1	RNA binding motif single stranded interacting protein 1 pseudogene 1	"RNA binding motif, single stranded interacting protein 1, pseudogene"	20210302
RBMS2	SCR3	MIM:602387|HGNC:HGNC:9909|Ensembl:ENSG00000076067	12	12q13.3	RNA binding motif single stranded interacting protein 2	protein-coding	RBMS2	RNA binding motif single stranded interacting protein 2	"RNA-binding motif, single-stranded-interacting protein 2|suppressor of CDC2 with RNA-binding motif 3"	20210302
RBMY1A1	RBM|RBM1|RBM2|RBMY|RBMY1C|YRRM1|YRRM2	MIM:400006|HGNC:HGNC:9912|Ensembl:ENSG00000234414	Y	Yq11.223	RNA binding motif protein Y-linked family 1 member A1	protein-coding	RBMY1A1	RNA binding motif protein Y-linked family 1 member A1	"RNA-binding motif protein, Y chromosome, family 1 member A1|RNA-binding motif protein 2|RNA-binding motif protein, Y chromosome, family 1 member A1/C|Y chromosome RNA recognition motif 1|Y chromosome RNA recognition motif 2"	20210302
RBMY1C	-	HGNC:HGNC:9914	Y	Yq11.23	RNA binding motif protein Y-linked family 1 member C	protein-coding	RBMY1C	RNA binding motif protein Y-linked family 1 member C	"RNA-binding motif protein, Y chromosome, family 1 member C"	20200721
RBMY1HP	RBMY1H|YRRM	HGNC:HGNC:9916|Ensembl:ENSG00000169811	Y	Yq11.223	"RNA binding motif protein Y-linked family 1 member H, pseudogene"	pseudo	RBMY1HP	"RNA binding motif protein Y-linked family 1 member H, pseudogene"	"Putative RNA-binding motif protein, Y chromosome, family 1 member H|RNA binding motif protein, Y chromosome, family 1, member H"	20210302
RBMY2AP	RBMY2A	HGNC:HGNC:9917	Y	Yq11.223	"RNA binding motif protein Y-linked family 2 member A, pseudogene"	pseudo	RBMY2AP	"RNA binding motif protein Y-linked family 2 member A, pseudogene"	"RNA binding motif protein, Y chromosome, family 2, member A|RNA binding motif protein, Y-linked, family 2, member A"	20210302
RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC	MIM:180260|HGNC:HGNC:9919|Ensembl:ENSG00000114115	3	3q23	retinol binding protein 1	protein-coding	RBP1	retinol binding protein 1	"retinol-binding protein 1|CRBP-I|cellular retinol binding protein 1|cellular retinol-binding protein I|retinol-binding protein 1, cellular"	20210302
RBP2	CRABP-II|CRBP2|CRBPII|RBPC2	MIM:180280|HGNC:HGNC:9920|Ensembl:ENSG00000114113	3	3q23	retinol binding protein 2	protein-coding	RBP2	retinol binding protein 2	"retinol-binding protein 2|CRBP-II|cellular retinol-binding protein II|retinol binding protein 2, cellular"	20210302
RBP3	D10S64|D10S65|D10S66|IRBP|RBPI|RP66	MIM:180290|HGNC:HGNC:9921|Ensembl:ENSG00000265203	10	10q11.22	retinol binding protein 3	protein-coding	RBP3	retinol binding protein 3	"retinol-binding protein 3|interphotoreceptor retinoid-binding protein|interstitial retinol binding protein 3|retinol binding protein 3, interstitial"	20210302
RBP4	MCOPCB10|RDCCAS	MIM:180250|HGNC:HGNC:9922|Ensembl:ENSG00000138207	10	10q23.33	retinol binding protein 4	protein-coding	RBP4	retinol binding protein 4	"retinol-binding protein 4|PRBP|RBP|plasma retinol-binding protein|retinol binding protein 4, plasma|retinol-binding protein 4, interstitial"	20210307
RCD1	-	MIM:180020	6	6q25-q26	retinal cone dystrophy 1	unknown	-	-	-	20200503
RCN1	HEL-S-84|PIG20|RCAL|RCN	MIM:602735|HGNC:HGNC:9934|Ensembl:ENSG00000049449	11	11p13	reticulocalbin 1	protein-coding	RCN1	reticulocalbin 1	"reticulocalbin-1|epididymis secretory protein Li 84|proliferation-inducing gene 20|reticulocalbin 1, EF-hand calcium binding domain"	20210302
RCN2	E6BP|ERC-55|ERC55|TCBP49	MIM:602584|HGNC:HGNC:9935|Ensembl:ENSG00000117906	15	15q24.3	reticulocalbin 2	protein-coding	RCN2	reticulocalbin 2	"reticulocalbin-2|E6-binding protein|calcium-binding protein ERC-55|reticulocalbin 2, EF-hand calcium binding domain (endoplasmic reticulum calcium-binding protein, 55kD)"	20210302
OPN1LW	CBBM|CBP|COD5|RCP|ROP	MIM:300822|HGNC:HGNC:9936|Ensembl:ENSG00000102076	X	Xq28	"opsin 1, long wave sensitive"	protein-coding	OPN1LW	"opsin 1, long wave sensitive"	"long-wave-sensitive opsin 1|cone dystrophy 5 (X-linked)|opsin 1 (cone pigments), long-wave-sensitive|red cone opsin|red cone photoreceptor pigment|red-sensitive opsin"	20210302
RCVRN	RCV1	MIM:179618|HGNC:HGNC:9937|Ensembl:ENSG00000109047	17	17p13.1	recoverin	protein-coding	RCVRN	recoverin	recoverin|cancer associated retinopathy antigen|cancer-associated retinopathy protein	20210302
RDH5	9cRDH|HSD17B9|RDH1|SDR9C5	MIM:601617|HGNC:HGNC:9940|Ensembl:ENSG00000135437	12	12q13.2	retinol dehydrogenase 5	protein-coding	RDH5	retinol dehydrogenase 5	retinol dehydrogenase 5|11-cis RDH|11-cis RoDH|9-cis retinol dehydrogenase|9-cis-retinol specific dehydrogenase|retinol dehydrogenase 1|retinol dehydrogenase 5 (11-cis and 9-cis)|retinol dehydrogenase 5 (11-cis/9-cis)|short chain dehydrogenase/reductase family 9C member 5	20210302
